The Random Vectors,Approximations of said vectors,Number of Iterations
[ 0.00225124  0.79624713  0.67776142],0.9569014922680541,9
[ 0.75486008  0.51697343  0.94917605],1.2182809887173116,9
[ 0.40082048  0.47521593  0.51023171],0.7017659953842517,9
[ 0.55194351  0.86404368  0.15733895],0.954199346331365,8
[ 0.4504732   0.71711713  0.19426772],0.7818276351274451,8
[ 0.73139998  0.90463323  0.748137  ],1.2820560251871422,9
[ 0.77258771  0.0422358   0.09963793],0.7260386824463196,7
[ 0.50908228  0.3161646   0.62732254],0.768463230241997,9
[ 0.640687    0.4949327   0.27963536],0.7656879703513433,8
[ 0.57528566  0.00939201  0.07166951],0.5302425555634082,7
[ 0.39659724  0.05485612  0.96596073],0.9621156563308085,9
[ 0.93647733  0.12949205  0.28196152],0.9168654626428917,8
[ 0.12778771  0.69393843  0.05733989],0.640178210835553,8
[ 0.86623446  0.15416304  0.82253415],1.1165606505343406,9
[ 0.80750389  0.9629301   0.04458968],1.18135935875138,8
[ 0.74901849  0.0064944   0.72811933],0.9637832829245135,9
[ 0.4403798   0.50544553  0.43957723],0.700567763199265,9
[ 0.89945159  0.4896913   0.65457071],1.119787741417423,9
[ 0.17097853  0.19535533  0.01964036],0.190709077667723,8
[ 0.33819218  0.73520438  0.3421523 ],0.785019507656599,8
[ 0.00237214  0.49248036  0.67832617],0.7487835976136189,9
[ 0.78131758  0.47825029  0.34051134],0.8876698205340395,8
[ 0.65146503  0.88776802  0.62139823],1.164687547733519,9
[ 0.39196537  0.41301493  0.22457799],0.5178496318734249,8
[ 0.29135073  0.9642689   0.28563439],0.9622161378967697,8
[ 0.89938621  0.12338354  0.21789197],0.8672452523787998,8
[ 0.01443267  0.23541863  0.57623853],0.537622060296096,9
[ 0.40219794  0.97660051  0.88921711],1.2806133547065577,9
[ 0.48105109  0.7621358   0.16427753],0.8315902839656614,8
[ 0.87651692  0.04286177  0.09160905],0.8295998755826776,7
[ 0.10205989  0.16670525  0.65410937],0.5969939718952063,9
[ 0.66021866  0.44482593  0.03775165],0.7249096281546992,8
[ 0.86487443  0.65358312  0.22953454],1.023487772652829,8
[ 0.93686072  0.28644757  0.0230837 ],0.919295881509605,8
[ 0.63619293  0.72655825  0.22558206],0.9037634752802117,8
[ 0.40270283  0.78160942  0.73777485],1.0464843249160931,9
[ 0.44150396  0.18670401  0.84366245],0.878084751072776,9
[ 0.18985364  0.56765126  0.46159189],0.6579045316608393,9
[ 0.24980474  0.35144244  0.8505796 ],0.8582891576442843,9
[ 0.79325716  0.30158774  0.75429609],1.0412521736009726,9
[ 0.81559334  0.67675457  0.17647882],0.9916175469533793,8
[ 0.31568294  0.78086224  0.89726808],1.1306623389527108,9
[ 0.72228917  0.62900854  0.20317794],0.8935124981914153,8
[ 0.26022576  0.17114805  0.61026369],0.5919046115193183,9
[ 0.02258835  0.03558866  0.99324701],0.9244007955624971,9
[ 0.15148113  0.14820467  0.91450298],0.8560845984081955,9
[ 0.05837829  0.5938817   0.90218133],0.9897868346836949,9
[ 0.02049359  0.41214146  0.64056289],0.6720202452135967,9
[ 0.16027206  0.20888129  0.43084292],0.4072040512470196,9
[ 0.29077288  0.38693189  0.83721555],0.8696247126614022,9
[ 0.16857468  0.4892366   0.23937326],0.47823179172222907,8
[ 0.87970155  0.15510514  0.1671764 ],0.8435464301628214,7
[ 0.00311295  0.48137096  0.12299959],0.42809492271433214,8
[ 0.52771501  0.67115873  0.69912699],1.0009989420411203,9
[ 0.15932483  0.45344723  0.21853427],0.4363295015399219,8
[ 0.42114561  0.78537551  0.70687077],1.0361864086409764,9
[ 0.95233985  0.64147592  0.74186017],1.269021821661014,9
[ 0.06716824  0.62181508  0.90333111],1.00624564044402,9
[ 0.92420739  0.94079897  0.84684543],1.4665659401168902,9
[ 0.67898763  0.29064908  0.98152386],1.1333419715372772,9
[ 0.87071793  0.73667437  0.203253  ],1.0747628621308938,8
[ 0.99910786  0.8577629   0.79079044],1.4367366081748183,9
[ 0.57886218  0.08285342  0.11342567],0.5338435125076458,7
[ 0.36691377  0.49209188  0.574752  ],0.7382611773257319,9
[ 0.15905188  0.54958102  0.77772411],0.8687998842659912,9
[ 0.40908993  0.59319902  0.14136511],0.6491807528967528,8
[ 0.85068608  0.80941825  0.69431523],1.2644970396951403,9
[ 0.0428475   0.05928501  0.13614546],0.066825730915039,8
[ 0.11035179  0.30487873  0.77274113],0.747685923478698,9
[ 0.31369849  0.56376604  0.89907391],1.0069807044300687,9
[ 0.12291414  0.51213982  0.4959563 ],0.6268795488837654,9
[ 0.95122345  0.04140152  0.41395529],0.9674344181626269,9
[ 0.44066216  0.96713436  0.92969914],1.3112861686648387,9
[ 0.58733831  0.14617192  0.12892615],0.5501910568062802,7
[ 0.86160987  0.47854969  0.47741052],1.0027301294850832,9
[ 0.34379675  0.70813888  0.94888705],1.1325578332441983,9
[ 0.93391994  0.71331277  0.86395133],1.3584411612961396,9
[ 0.16007563  0.80640886  0.1693706 ],0.7624834408977573,8
[ 0.11989976  0.14759837  0.29168188],0.24999255118983915,8
[ 0.14178991  0.83661959  0.26319594],0.8069806770948735,8
[ 0.68617323  0.37134464  0.25569866],0.7350805245214359,7
[ 0.27476274  0.75420988  0.72514788],0.9823475895198436,9
[ 0.52333407  0.63185727  0.8307979 ],1.0650744676433672,9
[ 0.48143615  0.50392652  0.54191781],0.7807846655900309,9
[ 0.40352574  0.40020154  0.87180861],0.9418300178829011,9
[ 0.57918241  0.88869872  0.07904157],0.9855987908620876,8
[ 0.98727967  0.74655444  0.62019251],1.2882266357905732,9
[ 0.38077696  0.33468493  0.28889141],0.4851150266889659,8
[ 0.78985356  0.44714301  0.5184267 ],0.9505466036820387,9
[ 0.71355095  0.55628096  0.30128645],0.8630625810291067,8
[ 0.16212673  0.95695212  0.34488875],0.9462745191658429,8
[ 0.18318423  0.11628702  0.3711365 ],0.3357591732867446,9
[ 0.48685072  0.25664723  0.18968454],0.49666948685560636,7
[ 0.89988167  0.40879803  0.86293369],1.2160399270293278,9
[ 0.54819837  0.79879616  0.53456371],1.0072316514555009,9
[ 0.11799109  0.83064311  0.25877725],0.797707789617651,8
[ 0.98164672  0.52028264  0.0830252 ],1.0420603675871083,8
[ 0.83962763  0.93000076  0.0041942 ],1.1792667536743981,9
[ 0.26039422  0.99562138  0.07017498],0.9605928835852506,8
[ 0.14513466  0.19687817  0.79561818],0.7455662122293119,9
