The Random Vectors,Approximations of said vectors,Number of Iterations
[ 0.7382937   0.72800068  0.64946357],1.1231199191745989,43
[ 0.52821452  0.65820371  0.7088252 ],0.9995456403876626,42
[ 0.40065015  0.40308656  0.1079599 ],0.4946927895132473,40
[ 0.67763015  0.49710333  0.70928505],0.9992842783781726,42
[ 0.26993493  0.55801527  0.92264053],1.0131625205710229,42
[ 0.08063528  0.05896143  0.53032883],0.4620542700853798,38
[ 0.93750171  0.42848478  0.68012545],1.1409604505433968,43
[ 0.20908297  0.35633791  0.20947694],0.36632450816508466,39
[ 0.83081111  0.74102045  0.9936558 ],1.390366392898599,43
[ 0.66244317  0.03686818  0.77202986],0.9340179961070608,41
[ 0.74888986  0.82430156  0.29973643],1.0634473643746114,43
[ 0.14468783  0.71557831  0.7144701 ],0.9255569388375346,42
[ 0.52320038  0.71756162  0.43329324],0.8902547140478305,42
[ 0.27692462  0.43649563  0.00926026],0.445942148590814,39
[ 0.49575585  0.22871305  0.57695783],0.6981488611774921,41
[ 0.08572435  0.83733906  0.65664817],0.9757759367354694,42
[ 0.67619326  0.81854561  0.66894018],1.1540235014594618,43
[ 0.55345233  0.50508722  0.00810612],0.6774420057001294,41
[ 0.96310969  0.91475204  0.95922421],1.5370880592626066,44
[ 0.93423694  0.38347061  0.53140388],1.0512994826802282,42
[ 0.43389128  0.08871463  0.60957147],0.6648245116498716,40
[ 0.4291473   0.78356622  0.74941189],1.0644921613604257,43
[ 0.80777259  0.3124595   0.70543547],1.023196118605331,42
[ 0.81011211  0.45936414  0.62981088],1.0276620556584128,42
[ 0.57647668  0.65811644  0.51467461],0.9149661173228032,42
[ 0.87530576  0.50414081  0.24625469],0.9565191900157815,42
[ 0.66367921  0.88844837  0.83738637],1.2874784611814436,43
[ 0.24024717  0.15797782  0.02713134],0.22091201404314922,37
[ 0.00509394  0.8171422   0.11523135],0.7607498269819691,40
[ 0.63782934  0.60610609  0.05449879],0.8051403641841004,41
[ 0.06841616  0.50218115  0.65433161],0.7341375770282325,41
[ 0.51037153  0.53516242  0.84294339],1.0195136307757764,42
[ 0.92407452  0.48479454  0.37080815],1.020177364045143,42
[ 0.7392537   0.87464562  0.86614234],1.3336977944671693,43
[ 0.74723379  0.43791749  0.5693084 ],0.9398215983822205,42
[ 0.24565603  0.09034332  0.27963014],0.29063622843590065,38
[ 0.05103473  0.95481067  0.95234131],1.2577916170412007,42
[ 0.1069052   0.77099335  0.64016486],0.9144629717141933,42
[ 0.96854452  0.1807779   0.49542503],1.0221754433192924,42
[ 0.51614234  0.16333913  0.95016208],1.0031244571553821,42
[ 0.33035895  0.50821956  0.1244087 ],0.5338042648415406,40
[ 0.23752302  0.553771    0.47175119],0.6654595301621455,41
[ 0.60142036  0.35363245  0.80322542],0.9655073563164019,42
[ 0.8647358   0.24537286  0.89982196],1.179967015768735,43
[ 0.54928937  0.94033978  0.16050139],1.0183630327663393,42
[ 0.94344284  0.7863966   0.14115847],1.1564041070649624,43
[ 0.95568727  0.81011035  0.9715192 ],1.4842422521326888,44
[ 0.57350303  0.59469002  0.56832817],0.9014952038960189,42
[ 0.21422706  0.71144912  0.94768275],1.106730097861995,42
[ 0.26636782  0.2906332   0.32046213],0.40575147536870515,40
[ 0.34889909  0.86358117  0.58105998],1.000038415773498,42
[ 0.42685174  0.0899494   0.25211714],0.42228823050437464,39
[ 0.93671585  0.34967611  0.15362002],0.9394374108954701,42
[ 0.49023679  0.02237748  0.96449689],0.9992678724617734,41
[ 0.50883611  0.4181018   0.71796669],0.8732053117552075,42
[ 0.49533774  0.02899591  0.94365626],0.9827353539515583,41
[ 0.54939749  0.83838097  0.75334058],1.1520520216991554,43
[ 0.60157688  0.72365848  0.15559805],0.8697156357177346,42
[ 0.15316518  0.54534282  0.02644884],0.49962448430146045,39
[ 0.76288569  0.24470888  0.47543422],0.8433719612994751,42
[ 0.73298787  0.8287027   0.89514948],1.320733815770486,43
[ 0.06988795  0.96135369  0.52927632],1.013046279192066,42
[ 0.37417213  0.84317759  0.7023063 ],1.0593841702128586,42
[ 0.52013129  0.76121278  0.34600544],0.890590394551292,42
[ 0.54635203  0.85914299  0.39226769],0.9967415157675337,42
[ 0.92770077  0.26665842  0.43434907],0.9753271073721077,42
[ 0.9295086   0.86050023  0.55820337],1.2882216382417524,43
[ 0.5227816   0.31980222  0.36298263],0.6166120714124302,41
[ 0.49448042  0.39329721  0.49667184],0.7029916252559879,41
[ 0.55437593  0.41799246  0.37980729],0.6944616220657149,41
[ 0.43536498  0.01136765  0.00405036],0.39633996510652414,37
[ 0.85198143  0.41850022  0.81239946],1.1526573925150936,43
[ 0.25864146  0.36462516  0.34368374],0.4618077142915747,40
[ 0.31833663  0.32203304  0.44416784],0.5320089742862575,40
[ 0.45650011  0.61825146  0.75386053],0.9739584964302792,42
[ 0.3278639   0.39939898  0.51028879],0.6236208509779844,41
[ 0.12119605  0.9826327   0.17826766],0.9329958449942396,41
[ 0.19363092  0.23186997  0.88314634],0.8446053151824745,41
[ 0.59596853  0.48660482  0.4371428 ],0.7867868560190385,42
[ 0.50103934  0.26410691  0.4143375 ],0.6056721804606813,41
[ 0.72952894  0.56506849  0.20600014],0.8603144987501109,42
[ 0.22823342  0.85391335  0.19050871],0.8242163215620373,41
[ 0.54641707  0.00424987  0.09766749],0.5028282607415931,39
[ 0.77817269  0.17441931  0.79302976],1.0348632914404217,42
[ 0.37259066  0.93931176  0.33747734],0.9760312089739914,42
[ 0.21651524  0.50734635  0.09517516],0.47993005600260025,39
[ 0.05966069  0.94402237  0.21235902],0.8966186869908156,41
[ 0.95280446  0.86390717  0.7258579 ],1.3779023712280845,44
[ 0.70198828  0.52620226  0.50545033],0.9148387407821967,42
[ 0.08709842  0.85677448  0.77723048],1.0672517289685075,42
[ 0.33007404  0.73321919  0.29363675],0.7647313467464277,41
[ 0.01990433  0.30762714  0.28780695],0.3320622227312288,38
[ 0.18985173  0.58157238  0.83382211],0.9368387920896823,42
[ 0.86961006  0.99285339  0.95763238],1.5287536206531889,44
[ 0.50876352  0.64222178  0.15569155],0.7486841722651196,41
[ 0.48330629  0.36638224  0.99698316],1.0699681574816442,42
[ 0.97605778  0.68493758  0.70653831],1.2884793350476116,43
[ 0.04051708  0.91067349  0.66391609],1.0386751652831117,42
[ 0.28743466  0.04789714  0.34849873],0.3682511137266147,38
[ 0.90878055  0.52325755  0.60041167],1.1133328052717928,43
